timestamp,VOC,CH4,SMOKE,CO,ODOR,label
27536,402,423,171,66,590,cola
27552,402,423,172,66,591,cola
27568,402,423,173,65,591,cola
27584,403,422,173,66,591,cola
27600,403,422,173,66,592,cola
27616,404,422,173,66,592,cola
27632,404,422,174,66,593,cola
27648,405,422,174,66,594,cola
27664,405,422,174,66,594,cola
27680,406,423,174,66,594,cola
27696,407,424,173,66,593,cola
27712,408,425,173,67,594,cola
27728,408,427,174,67,594,cola
27744,409,429,174,67,595,cola
27760,410,429,174,67,596,cola
27776,410,429,174,67,598,cola
27792,409,428,175,67,599,cola
27808,409,427,175,67,600,cola
27824,409,426,175,68,601,cola
27840,409,426,175,68,601,cola
27856,409,427,175,68,600,cola
27872,410,428,176,68,599,cola
27888,411,430,176,68,598,cola
27904,413,432,176,68,596,cola
27920,414,433,175,68,595,cola
27936,416,434,175,68,594,cola
27952,416,432,175,68,592,cola
27968,416,428,174,67,590,cola
27984,416,426,174,68,589,cola
28000,415,424,173,68,588,cola
28016,415,422,173,68,587,cola
28032,414,421,172,68,587,cola
28048,414,421,172,67,587,cola
28064,414,421,172,68,587,cola
28080,413,420,171,67,586,cola
28096,413,419,171,67,587,cola
28112,411,417,170,67,587,cola
28128,409,414,171,66,586,cola
28144,408,410,171,66,586,cola
28160,407,408,170,66,585,cola
28176,406,407,170,66,584,cola
28192,405,407,170,65,583,cola
28208,405,408,170,65,582,cola
28224,404,408,170,65,581,cola
28240,403,407,170,65,581,cola
28256,402,406,170,65,580,cola
28272,400,404,169,65,580,cola
28288,400,402,169,65,580,cola
28304,399,400,168,65,580,cola
28320,399,400,167,64,580,cola
28336,401,401,167,65,580,cola
28352,404,405,167,65,580,cola
28368,407,414,167,65,580,cola
28384,407,420,167,65,581,cola
28400,408,424,167,65,581,cola
28416,411,425,167,65,578,cola
28432,412,420,166,64,575,cola
28448,410,413,164,63,574,cola
28464,406,406,163,63,572,cola
28480,406,408,163,63,570,cola
28496,405,407,162,62,568,cola
28512,405,406,161,62,568,cola
28528,404,405,160,61,569,cola
28544,404,406,160,61,571,cola
28560,403,408,160,61,573,cola
28576,400,409,160,61,574,cola
28592,398,405,160,62,575,cola
28608,397,400,159,62,575,cola
28624,395,398,158,62,576,cola
28640,394,397,158,62,576,cola
28656,392,396,157,63,577,cola
28672,391,395,157,63,578,cola
28688,390,395,157,63,579,cola
28704,390,394,156,63,579,cola
28720,389,395,155,63,580,cola
28736,387,395,156,63,581,cola
28752,386,393,155,63,580,cola
28768,385,391,154,63,580,cola
28784,383,391,154,63,580,cola
28800,383,392,153,63,580,cola
28816,383,395,153,63,579,cola
28832,383,399,153,63,578,cola
28848,382,401,153,63,575,cola
28864,383,402,153,63,573,cola
28880,383,404,153,63,570,cola
28896,384,407,153,62,568,cola
28912,386,407,153,62,566,cola
28928,386,405,153,61,563,cola
28944,386,404,153,60,561,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
